Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
CAG,Conagra Brands  Inc.,54102020,식품 가공,7095399438,"9조 5,894억원",USD
AXTA,Axalta Coating Systems Ltd.,51101010,상품 화학,7071220701,"9조 5,568억원",USD
FAF,First American Financial Corp,55301020,손해보험,7069404000,"9조 5,543억원",USD
FSS,Federal Signal Corp,52102020,중장비 및 차량,7057350997,"9조 5,380억원",USD
AXS,AXIS Capital Holdings Limited,55301010,복합보험 및 중개인,7025197001,"9조 4,946억원",USD
OR,OR Royalties Inc,51201050,특수 채굴 및 금속,6997784205,"9조 4,575억원",USD
KEX,Kirby Corp,52405020,해양 화물 및 물류,6994416000,"9조 4,530억원",USD
JAN,Janus Living Inc,60102010,복합부동산 REITs,6977284091,"9조 4,298억원",USD
ICL,ICL Group Ltd.,51101020,농화학제,6969879149,"9조 4,198억원",USD
TFPM,Triple Flag Precious Metals Corp.,51201060,금,6948482236,"9조 3,909억원",USD
AWI,Armstrong World Industries  Inc.,53203020,건설 자재 및 비품,6923073527,"9조 3,565억원",USD
PATH,UiPath Inc,57201020,소프트웨어,6905309169,"9조 3,325억원",USD
MSA,Msa Safety Inc,52203060,비즈니스 지원 용품,6902041685,"9조 3,281억원",USD
ETSY,Etsy  Inc.,53402010,백화점,6896480545,"9조 3,206억원",USD
LAD,Lithia Motors Inc,53403010,"자동차 차량, 부품 및 서비스 소매",6865766789,"9조 2,791억원",USD
OMF,OneMain Holdings  Inc.,55101030,소비자 대출,6796649989,"9조 1,857억원",USD
ESE,ESCO Technologies Inc.,52102010,산업용 기계 및 장비,6782860116,"9조 1,670억원",USD
MATX,Matson Inc,52405020,해양 화물 및 물류,6781506205,"9조 1,652억원",USD
MSM,MSC Industrial Direct Co.  Inc.,52102010,산업용 기계 및 장비,6778065188,"9조 1,606억원",USD
BROS,Dutch Bros Inc.,53301020,레스토랑 및 바,6770663312,"9조 1,506억원",USD
TEX,Terex Corporation,52102020,중장비 및 차량,6719697000,9조 817억원,USD
LB,LandBridge Company LLC,50102020,"오일, 가스 탐사 및 생산",6699493157,9조 544억원,USD
