Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
FOX,Fox Corporation Class B,53302020,방송,12624659152,17조 622억원,USD
NXT,Nextpower Inc,50201010,재생 가능 에너지 장비 및 서비스,12520719990,"16조 9,218억원",USD
DOCU,Docusign  Inc.,57201020,소프트웨어,12477607696,"16조 8,635억원",USD
SEIC,SEI Investments Company,55102020,투자 관리 및 펀드 운영,12453190324,"16조 8,305억원",USD
VICR,Vicor Corporation,52102030,전기 부품 및 장비,12372280465,"16조 7,211억원",USD
BMRN,BioMarin Pharmaceutical Inc.,56201040,제약,12266769108,"16조 5,785억원",USD
HAS,Hasbro  Inc.,53205010,장난감 및 어린이 제품,12258174627,"16조 5,669억원",USD
ERIE,Erie Indemnity Co,55301020,손해보험,12255699262,"16조 5,636억원",USD
SAIL,SailPoint  Inc.,57201020,소프트웨어,12200381597,"16조 4,888억원",USD
MANH,Manhattan Associates  Inc.,57201010,IT 서비스 및 컨설팅,12074376651,"16조 3,185억원",USD
MDGL,Madrigal Pharmaceuticals  Inc.,56202010,생명 공학 및 의학 연구,11987113693,"16조 2,006억원",USD
AGNC,AGNC Investment Corp.,60102040,특수 REITs,11961507800,"16조 1,660억원",USD
NVMI,Nova Ltd.,57101010,반도체,11766689262,"15조 9,027억원",USD
WSE,Wise Group PLC,57201030,온라인 서비스,11697843499,"15조 8,096억원",USD
CSGP,CoStar Group  Inc.,57201030,온라인 서비스,11657534607,"15조 7,552억원",USD
GLPI,Gaming and Leisure Properties  Inc.,60102040,특수 REITs,11613528117,"15조 6,957억원",USD
SANM,Sanmina Corporation,57104010,전자 장비 및 부품,11564701504,"15조 6,297억원",USD
LULU,lululemon athletica inc.,53202020,의류 및 액세서리,11483950893,"15조 5,206억원",USD
PAYP,PayPay Corp ADR,52203040,경영 지원 서비스,11474396318,"15조 5,076억원",USD
RMBS,Rambus Inc.,57101010,반도체,11414499100,"15조 4,267억원",USD
TECH,Bio-Techne Corporation,56202010,생명 공학 및 의학 연구,11377163167,"15조 3,762억원",USD
PSKY,Paramount Skydance Corp,53302030,엔터테인먼트 제작,11342871826,"15조 3,299억원",USD
BTSG,Brightspring Health Services Inc,56102010,의료 시설 및 서비스,11189222829,"15조 1,222억원",USD
FROG,JFrog Ltd.,57201020,소프트웨어,11090952924,"14조 9,894억원",USD
XP,XP Inc,55102010,투자 은행 및 중개 서비스,10958728290,"14조 8,107억원",USD
